regions,2019,2020,2021,2022
Ar Riyad,562,535,518,183
Makkah,534,222,252,222
Jeddah,504,310,283,428
Taif,329,137,99,118
Al Madinah,181,85,54,23
Al Quassim,131,58,95,29
Ash Sharqiyah,406,303,278,110
alehsa,171,49,21,76
Hafr Albaten,14,5,4,4
Asir,184,88,116,59
Besha,33,18,11,15
Tabuk,32,47,31,8
Ha'il,20,21,25,9
Al Hudud ash Shamaliyah,17,12,10,21
Jizan,94,39,53,116
Najran,80,43,36,3
Al Bahah,56,38,47,20
Al Jawf,13,6,6,7
Quraat,13,1,0,1
Konfutha,28,14,21,12
